hp,num_heads,horizon,end_time,time,mae,rmse,learning_rate,patience
,2,24,2026-05-16-11:12:26,0.56,3.0269517302513123,6.30036340157191,0.001,10
,4,24,2026-05-16-11:25:22,0.62,3.11847131450971,6.4220806161562605,0.001,10
,6,24,2026-05-16-11:38:38,0.62,3.0843894879023233,6.3302023609479265,0.001,10
,8,24,2026-05-16-22:32:42,0.65,3.140055159727732,6.452440599600474,0.001,10
,10,24,2026-05-16-11:43:00,0.68,3.146500378847122,6.507586439450582,0.001,10
,2,24,2026-05-16-11:51:48,0.56,3.0269517302513123,6.30036340157191,0.001,50
,4,24,2026-05-16-12:05:22,0.59,3.11847131450971,6.4220806161562605,0.001,50
,6,24,2026-05-16-12:17:21,0.64,3.0938808421293893,6.430743038654327,0.001,50
,8,24,2026-05-16-13:08:03,0.66,3.140055159727732,6.452440599600474,0.001,50
,10,24,2026-05-16-13:25:14,0.68,3.146500378847122,6.507586439450582,0.001,50
,2,24,2026-05-16-23:03:47,0.56,2.909338782231013,6.237831751505534,0.0001,10
,4,24,2026-05-17-00:12:27,0.59,3.0190244217713675,6.35304840405782,0.0001,10
,6,24,2026-05-17-09:17:15,0.63,2.9673426946004233,6.323039293289185,0.0001,10
,8,24,2026-05-17-09:48:22,0.65,2.9931688209374747,6.299483140309651,0.0001,10
,10,24,2026-05-17-10:09:49,0.78,2.985000123580297,6.308529357115428,0.0001,10
,2,24,2026-05-17-10:53:45,0.64,2.909338782231013,6.237831751505534,0.0001,50
,4,24,2026-05-17-11:35:29,0.59,3.0386362771193185,6.4156896869341535,0.0001,50
,6,24,2026-05-17-12:07:21,0.79,2.95458714167277,6.296842435995738,0.0001,50
,8,24,2026-05-17-12:32:00,0.66,2.9958674013614655,6.2997105717659,0.0001,50
,10,24,2026-05-17-13:41:43,0.68,2.9814544518788657,6.2972753047943115,0.0001,50
,2,24,2026-05-17-14:45:24,0.59,2.949746757745743,6.283224105834961,0.0001,50
,4,24,2026-05-17-16:16:42,0.66,2.951327254374822,6.2725434104601545,0.0001,50
,6,24,2026-05-17-16:45:12,0.7,2.9725990295410156,6.3121315240859985,0.0001,50
,6,24,2026-05-17-17:20:28,0.78,2.9725990295410156,6.3121315240859985,0.0001,70
,8,24,2026-05-17-18:17:25,0.77,3.000599523385366,6.323985934257507,0.0001,70
,2,24,2026-05-17-20:27:28,0.56,3.002787709236145,6.389056821664174,0.0001,50
,4,24,2026-05-17-21:12:53,0.66,2.9928229053815207,6.338199973106384,0.0001,50
,6,24,2026-05-17-22:39:29,0.63,2.951277812321981,6.295876781145732,0.0001,50
,8,24,2026-05-17-23:39:13,0.73,2.984249323606491,6.333426058292389,0.0001,50
,2,24,2026-05-18-11:45:00,0.57,3.0863207479317984,6.4939806660016375,1e-05,10
,2,24,2026-05-18-13:31:09,0.69,2.923591564098994,6.245482226212819,0.0001,50
,4,24,2026-05-18-14:33:38,0.73,2.9566166698932648,6.282436350981395,0.0001,50
,6,24,2026-05-18-15:09:48,0.78,2.9498380720615387,6.297758221626282,0.0001,50
,8,24,2026-05-18-15:26:03,0.62,3.02556378642718,6.342205862204234,0.0001,50
,2,24,2026-05-18-18:48:53,0.59,3.0840198695659637,6.5071903467178345,1e-05,50
