hp,num_heads,horizon,end_time,time,mae,rmse,learning_rate,patience,seed, fusion_type
,2,24,2026-05-20-16:33:58,0.59,2.9515953063964844,6.279040972391765,0.0001,50,1, weighted_sum
,4,24,2026-05-20-17:29:03,0.68,2.970472107330958,6.3068041404088335,0.0001,50,1, weighted_sum
,6,24,2026-05-20-18:01:32,0.61,2.9564364353815713,6.303813616434733,0.0001,50,1, weighted_sum
,6,24,2026-05-20-18:41:40,0.72,2.941199670235316,6.272659599781036,0.0001,50,1, weighted_sum (k=5)
,2,24,2026-05-21-11:27:11,0.59,2.924813707669576,6.248922526836395,0.0001,50,2,weighted_sum
,4,24,2026-05-21-11:54:19,0.6,2.945858617623647,6.2778152624766035,0.0001,50,2,weighted_sum
,6,24,2026-05-21-13:24:15,0.61,2.967285841703415,6.297423164049785,0.0001,50,2,weighted_sum
,2,24,2026-05-21-14:02:54,0.66,3.01860444744428,6.407992819945018,0.0001,50,3,weighted_sum
,4,24,2026-05-21-15:02:23,0.64,2.9594060281912484,6.290307263533275,0.0001,50,3,weighted_sum
,6,24,2026-05-21-15:28:26,0.76,3.0052481094996133,6.375018119812012,0.0001,50,3,weighted_sum
,2,24,2026-05-21-16:03:54,0.72,2.9816289842128754,6.32014795144399,0.0001,50,3,weighted_sum
---shared weights--
,2,24,2026-05-21-16:44:36,0.62,3.0275946855545044,6.441575884819031,0.0001,50,3,weighted_sum
,4,24,2026-05-21-17:12:16,0.65,3.022569348414739,6.405719379583995,0.0001,50,3,weighted_sum
,4,24,2026-05-21-18:33:07,0.67,2.995095123847326,6.324980119864146,0.0001,50,1,weighted_sum
